iter	Logloss
0	0.6810723352
1	0.669657401
2	0.6602853797
3	0.650169113
4	0.6410511695
5	0.6340007951
6	0.6283704225
7	0.6241109877
8	0.6176638787
9	0.6127021914
10	0.6075561097
11	0.6028306199
12	0.5973088306
13	0.5930654169
14	0.5884264376
15	0.5849542657
16	0.5818287997
17	0.5788679457
18	0.5763129487
19	0.5722395834
20	0.5683936761
21	0.5653150354
22	0.562796977
23	0.5602158834
24	0.5578154
25	0.5557329699
26	0.5535699045
27	0.5506622262
28	0.5486010642
29	0.5461467423
30	0.5449054672
31	0.5426408734
32	0.5410118104
33	0.5385239571
34	0.5363052301
35	0.5347465028
36	0.5332189819
37	0.5306590816
38	0.5289353715
39	0.5274866098
40	0.5262142124
41	0.5247571217
42	0.5230674788
43	0.5218301784
44	0.5204768767
45	0.5201194918
46	0.5185898774
47	0.5173462684
48	0.5162972776
49	0.5147750203
50	0.5135586492
51	0.5124154748
52	0.5114342663
53	0.510216254
54	0.5093605437
55	0.5085086641
56	0.5074854878
57	0.506597772
58	0.5057140299
59	0.5048882986
60	0.5040059329
61	0.5034659377
62	0.5024274776
63	0.5016280838
64	0.5014223144
65	0.5004960702
66	0.4999995224
67	0.4992268913
68	0.498683811
69	0.4981595914
70	0.4976816157
71	0.4969260593
72	0.4963550285
73	0.4958132375
74	0.4952109436
75	0.494629601
76	0.4941529069
77	0.4935878548
78	0.4927991521
79	0.4924824381
80	0.4918879553
81	0.4912375574
82	0.490617407
83	0.4901202711
84	0.4894295194
85	0.4891135317
86	0.4885651558
87	0.4881665154
88	0.4877976654
89	0.4871435034
90	0.4867572163
91	0.4862680745
92	0.4858561955
93	0.4855836415
94	0.4852674828
95	0.4847942502
96	0.4843692284
97	0.4839706145
98	0.4832654117
99	0.4829457684
100	0.4824802703
101	0.4822910051
102	0.4819644638
103	0.4814769103
104	0.4808791612
105	0.4807026365
106	0.4801292515
107	0.4796537
108	0.4791838908
109	0.4786317101
110	0.4782664267
111	0.4778100496
112	0.4775114811
113	0.4772535008
114	0.4768937789
115	0.4765427976
116	0.4762075626
117	0.4758370215
118	0.4755533134
119	0.4754271877
120	0.4751406824
121	0.4746668127
122	0.4742694555
123	0.4737323278
124	0.4734379565
125	0.4729966417
126	0.4726428302
127	0.4722600157
128	0.4720092773
129	0.4718951379
130	0.4715417284
131	0.4711202273
132	0.470617431
133	0.4702603476
134	0.4701131821
135	0.4696304128
136	0.469152859
137	0.4686622751
138	0.4682904053
139	0.4679372472
140	0.467692179
141	0.4674030245
142	0.4671592003
143	0.4666319816
144	0.4662349305
145	0.4660556877
146	0.4658592522
147	0.4653881669
148	0.4648457688
149	0.4645035474
150	0.4642801679
151	0.4638880986
152	0.4635453131
153	0.463366859
154	0.4629839177
155	0.4627393719
156	0.4624573455
157	0.4622071655
158	0.4617725355
159	0.4615428966
160	0.4611672561
161	0.4609723656
162	0.4606450654
163	0.4603407144
164	0.4600355629
165	0.4598406798
166	0.4595357695
167	0.4594089703
168	0.4591976424
169	0.4591030038
170	0.4588926194
171	0.4584908379
172	0.458218946
173	0.4578410886
174	0.4576966453
175	0.4575825313
176	0.4573250407
177	0.4570024587
178	0.456927993
179	0.456616466
180	0.4564416803
181	0.4563510542
182	0.4561445499
183	0.4561438788
184	0.4559381695
185	0.4556537581
186	0.455551573
187	0.4552683573
188	0.4550763775
189	0.4548997816
190	0.4547125187
191	0.4543811261
192	0.4541816259
193	0.4538588674
194	0.4535194435
195	0.4532259813
196	0.453032113
197	0.4528081244
198	0.4525696836
199	0.4522807187
200	0.4520998589
201	0.4517678696
202	0.4514791511
203	0.4512475545
204	0.4510839101
205	0.4509434572
206	0.4507549038
207	0.4504193518
208	0.4502293284
