iter	Logloss
0	0.6812667851
1	0.6701494225
2	0.661206951
3	0.6516699013
4	0.6424881757
5	0.6345158377
6	0.6265809358
7	0.6214022579
8	0.6168600987
9	0.610989732
10	0.6056056668
11	0.6008637047
12	0.5970501273
13	0.5935156522
14	0.5892897389
15	0.5847862562
16	0.5808719473
17	0.5773386106
18	0.5744600025
19	0.5716149998
20	0.5679042452
21	0.5656398708
22	0.5625766902
23	0.5602992573
24	0.557745968
25	0.5555243636
26	0.5535817364
27	0.5514991933
28	0.549100216
29	0.5467090987
30	0.5448993906
31	0.5426677754
32	0.5406785136
33	0.5390722218
34	0.5371133298
35	0.5356457674
36	0.5341321147
37	0.532416063
38	0.5311883189
39	0.529470854
40	0.5277077114
41	0.526242205
42	0.5250556357
43	0.5238454685
44	0.5228953803
45	0.5215014502
46	0.5204031029
47	0.5192762395
48	0.5184172161
49	0.5173828629
50	0.5164662537
51	0.5153846359
52	0.514199315
53	0.5132484496
54	0.5123246991
55	0.5111455574
56	0.5102814004
57	0.5094992424
58	0.5083724271
59	0.5076624214
60	0.5066452509
61	0.5059857545
62	0.5050569894
63	0.5047223817
64	0.5041016578
65	0.5033813744
66	0.5028077894
67	0.5020647418
68	0.5019755133
69	0.5014353858
70	0.5007086574
71	0.5001301512
72	0.4997327081
73	0.4991610878
74	0.4985220573
75	0.4979958722
76	0.4972692424
77	0.4967195208
78	0.4964157034
79	0.4960423575
80	0.4954732619
81	0.4949776526
82	0.4944203647
83	0.493827659
84	0.4934546109
85	0.4928854071
86	0.4924382232
87	0.4920213221
88	0.4916437064
89	0.4909880695
90	0.4903832076
91	0.4897072867
92	0.4892077295
93	0.4887161533
94	0.4882575857
95	0.4877819469
96	0.487179447
97	0.4866224274
98	0.4860622192
99	0.485757905
100	0.4853775139
101	0.4849368421
102	0.4848986193
103	0.4845959349
104	0.4841857642
105	0.4841303775
106	0.4835671447
107	0.4831202419
108	0.4826096691
109	0.4822653939
110	0.4816736405
111	0.4813157217
112	0.4809365052
113	0.4803848189
114	0.4797770571
115	0.4792778973
116	0.4792188459
117	0.4789593051
118	0.4786901442
119	0.47833407
120	0.4778142533
121	0.4776010615
122	0.4774196953
123	0.4770394051
124	0.4764446083
125	0.4761506493
126	0.4757377745
127	0.4752406305
128	0.4749216229
129	0.4744807507
130	0.4741857691
131	0.4739584555
132	0.4737327195
133	0.4734083391
134	0.4731973093
135	0.4729770597
136	0.4727259855
137	0.4723758328
138	0.4721766372
139	0.4718480333
140	0.4713755097
141	0.4712522546
142	0.4709373868
143	0.4706441864
144	0.4703088515
145	0.4701275269
146	0.4698277924
147	0.4695158524
148	0.4692777568
149	0.469007795
150	0.4687520752
151	0.4685603093
152	0.4680804472
153	0.4679063884
154	0.467432636
155	0.4672964005
156	0.4669043849
157	0.4665464252
